F1,F3,F6,F7,F2,F4,F5,F8,F9
Education,City,Gender,EverBenched,,,,,
Bachelors,Bangalore,Male,No,2017,3,34,0,0
Bachelors,Pune,Female,No,2013,1,28,3,1
Bachelors,New Delhi,Female,No,2014,3,38,2,0
Masters,Bangalore,Male,No,2016,3,27,5,1
Masters,Pune,Male,Yes,2017,3,24,2,1
Bachelors,Bangalore,Male,No,2016,3,22,0,0
Bachelors,New Delhi,Male,No,2015,3,38,0,0
Bachelors,Bangalore,Female,No,2016,3,34,2,1
Bachelors,Pune,Male,No,2016,3,23,1,0
Masters,New Delhi,Male,No,2017,2,37,2,0
Masters,Bangalore,Male,No,2012,3,27,5,1
Bachelors,Pune,Male,No,2016,3,34,3,0
Bachelors,Pune,Male,Yes,2018,3,32,5,1
Bachelors,Bangalore,Male,No,2016,3,39,2,0
Bachelors,Bangalore,Male,No,2012,3,37,4,0
Bachelors,Bangalore,Male,No,2017,1,29,3,0
Bachelors,Bangalore,Female,No,2014,3,34,2,0
Bachelors,Pune,Male,No,2014,3,34,4,0
Bachelors,Pune,Female,No,2015,2,30,0,1
Bachelors,New Delhi,Female,No,2016,2,22,0,1
Bachelors,Bangalore,Male,No,2012,3,37,0,0
Masters,New Delhi,Male,No,2017,2,28,4,0
Bachelors,New Delhi,Male,No,2017,2,36,3,0
Bachelors,Bangalore,Male,Yes,2015,3,27,5,0
Bachelors,Bangalore,Male,No,2017,3,29,4,0
Bachelors,Bangalore,Female,Yes,2013,3,22,0,0
Bachelors,Bangalore,Male,No,2016,3,37,2,0
Bachelors,Bangalore,Male,No,2015,3,23,1,0
Bachelors,Pune,Female,No,2013,2,31,2,1
Masters,New Delhi,Female,No,2017,2,30,2,0
PHD,New Delhi,Male,No,2013,3,25,3,0
Bachelors,Bangalore,Male,No,2014,3,23,1,0
Bachelors,Bangalore,Male,No,2018,3,26,4,1
Bachelors,Bangalore,Male,No,2016,3,40,5,0
Bachelors,Pune,Female,No,2017,2,37,0,1
Bachelors,Bangalore,Female,No,2014,1,30,3,0
Bachelors,New Delhi,Male,No,2012,3,29,3,0
Bachelors,New Delhi,Female,No,2018,2,34,0,1
Bachelors,Pune,Female,No,2017,2,29,2,1
Bachelors,Pune,Male,Yes,2014,3,30,4,0
Bachelors,Bangalore,Male,No,2015,3,36,1,0
Masters,New Delhi,Male,No,2017,2,23,1,0
Bachelors,Bangalore,Male,No,2013,3,30,3,1
Bachelors,Bangalore,Male,No,2014,3,36,0,0
Bachelors,Pune,Male,No,2015,3,39,4,0
Bachelors,Bangalore,Female,No,2014,3,23,1,0
PHD,New Delhi,Male,No,2012,3,27,5,0
Masters,New Delhi,Male,No,2013,3,35,2,0
Masters,New Delhi,Male,No,2017,2,34,0,0
Bachelors,Bangalore,Female,No,2013,3,30,1,0
PHD,New Delhi,Male,No,2017,3,34,2,0
Bachelors,Pune,Female,No,2015,2,26,4,1
Bachelors,Bangalore,Female,No,2016,3,34,0,0
Bachelors,Bangalore,Female,Yes,2014,3,31,5,0
Bachelors,New Delhi,Female,Yes,2017,3,31,5,0
PHD,New Delhi,Male,No,2013,3,28,2,0
Bachelors,Bangalore,Male,No,2016,3,38,2,0
Masters,Pune,Female,No,2014,3,39,2,0
Bachelors,Pune,Male,No,2013,3,32,4,0
Masters,Pune,Male,No,2017,2,36,2,1
Masters,New Delhi,Male,No,2013,3,29,3,0
Bachelors,Bangalore,Male,No,2015,3,30,5,0
PHD,Bangalore,Male,No,2013,2,25,3,1
Bachelors,Pune,Female,No,2014,1,22,0,1
Bachelors,Bangalore,Male,No,2016,3,34,4,0
Bachelors,Bangalore,Male,No,2018,3,40,1,1
PHD,Bangalore,Male,No,2013,3,26,4,0
Bachelors,New Delhi,Male,No,2014,3,28,0,0
Bachelors,Bangalore,Female,No,2015,3,24,2,0
Masters,Bangalore,Female,No,2017,3,40,2,1
Bachelors,Bangalore,Female,No,2018,3,23,1,1
Masters,Bangalore,Male,No,2017,3,31,4,0
Bachelors,Pune,Female,No,2014,3,25,3,0
Bachelors,Bangalore,Male,No,2014,1,27,5,0
Masters,New Delhi,Female,No,2017,2,25,3,1
Bachelors,Bangalore,Male,No,2015,3,40,0,1
Bachelors,Bangalore,Female,No,2014,1,23,1,0
Bachelors,Bangalore,Female,No,2017,3,23,1,0
Bachelors,Bangalore,Male,No,2012,3,39,1,0
PHD,New Delhi,Male,No,2015,1,37,1,0
Bachelors,Pune,Male,No,2017,3,38,2,0
Bachelors,Bangalore,Female,No,2013,3,31,0,1
Bachelors,Bangalore,Male,No,2016,3,38,5,0
Bachelors,Bangalore,Female,No,2017,3,25,3,0
Bachelors,Bangalore,Female,Yes,2015,3,27,5,1
Bachelors,Pune,Male,No,2016,2,36,0,1
Bachelors,Pune,Female,No,2017,2,27,5,1
